Mouse;Human
Slc35a1;SLC35A1
Slc35a4;SLC35A4
Slc35e1;SLC35E1
Slc39a6;SLC39A6
Slc4a1ap;SLC4A1AP
Slirp;SLIRP
Sltm;SLTM
Slu7;SLU7
Smad2;SMAD2
Smap1;SMAP1
Smarca5;SMARCA5
Smarcb1;SMARCB1
Smarcc1;SMARCC1
Smc1a;SMC1A
Smdt1;SMDT1
Smim11;SMIM11A
Smim12;SMIM12
Smpd1;SMPD1
Smu1;SMU1
Smyd5;SMYD5
Snap29;SNAP29
Snapin;SNAPIN
Snd1;SND1
Snf8;SNF8
Snrnp35;SNRNP35
Snrnp70;SNRNP70
Snrpa;SNRPA
Snrpb;SNRPB
Snrpd3;SNRPD3
Snx1;SNX1
Snx12;SNX12
Snx19;SNX19
Snx27;SNX27
Snx3;SNX3
Sod1;SOD1
Son;SON
Sp1;SP1
Sp2;SP2
Spag7;SPAG7
Spag9;SPAG9
Spg11;SPG11
Spg7;SPG7
Sppl3;SPPL3
Spryd3;SPRYD3
Sptssa;SPTSSA
Srebf2;SREBF2
Srm;SRM
Srp14;SRP14
Srp9;SRP9
Srprb;SRPRB
Srrm1;SRRM1
Srsf1;SRSF1
Srsf10;SRSF10
Srsf11;SRSF11
Srsf2;SRSF2
Srsf3;SRSF3
Srsf4;SRSF4
Srsf6;SRSF6
Srsf9;SRSF9
Ssbp1;SSBP1
Ssna1;SSNA1
Ssr2;SSR2
Ssr3;SSR3
Ssrp1;SSRP1
Ssu72;SSU72
St13;ST13
Stat3;STAT3
Stau1;STAU1
Stim1;STIM1
Stip1;STIP1
Stk11;STK11
Stk24;STK24
Stk38;STK38
Strap;STRAP
Strn4;STRN4
Stt3b;STT3B
Stub1;STUB1
Stx4a;STX4
Stx5a;STX5
Stx8;STX8
Sub1;SUB1
Sugt1;SUGT1
Sumo1;SUMO1
Supt6;SUPT6H
Surf4;SURF4
Syf2;SYF2
Syncrip;SYNCRIP
Tab1;TAB1
Tada2b;TADA2B
Tada3;TADA3
Taf10;TAF10
Taok2;TAOK2
Tardbp;TARDBP
Tax1bp1;TAX1BP1
Tbc1d20;TBC1D20
Tbca;TBCA
Tbcb;TBCB
Tbcd;TBCD
Tbk1;TBK1
Tbl1xr1;TBL1XR1
Tcf25;TCF25
Tcp1;TCP1
Terf2ip;TERF2IP
Tex261;TEX261
Thap11;THAP11
Thoc7;THOC7
Thrap3;THRAP3
Timm17a;TIMM17A
Timm17b;TIMM17B
Timm22;TIMM22
Tm9sf3;TM9SF3
Tmbim6;TMBIM6
Tmco1;TMCO1
Tmed1;TMED1
Tmed10;TMED10
Tmed4;TMED4
Tmed9;TMED9
Tmem101;TMEM101
Tmem127;TMEM127
Tmem147;TMEM147
Tmem165;TMEM165
Tmem183a;TMEM183A
Tmem203;TMEM203
Tmem219;TMEM219
Tmem230;TMEM230
Tmem245;TMEM245
Tmem248;TMEM248
Tmem251;TMEM251
Tmem256;TMEM256
Tmem258;TMEM258
Tmem259;TMEM259
Tmem30a;TMEM30A
Tmem42;TMEM42
Tmem50a;TMEM50A
Tmem60;TMEM60
Tmx3;TMX3
Tmx4;TMX4
Tnks;TNKS
Tnks2;TNKS2
Tollip;TOLLIP
Tomm20;TOMM20
Tomm22;TOMM22
Tomm70a;TOMM70
Tor1a;TOR1A
Tor1b;TOR1B
Tpi1;TPI1
Tpp2;TPP2
Tram1;TRAM1
Trappc3;TRAPPC3
Trim28;TRIM28
Trip12;TRIP12
Trip4;TRIP4
Trmt112;TRMT112
Trpc4ap;TRPC4AP
Tsn;TSN
Tspyl1;TSPYL1
Tsr1;TSR1
Tsr3;TSR3
Tsta3;TSTA3
Ttc1;TTC1
Ttc37;TTC37
Tubg1;TUBG1
Tusc2;TUSC2
Tut1;TUT1
Txn2;TXN2
Txndc12;TXNDC12
Txndc9;TXNDC9
Txnl1;TXNL1
U2af1;U2AF1
U2af2;U2AF2
Uba1;UBA1
Uba2;UBA2
Ubac1;UBAC1
Ubap2l;UBAP2L
Ube2d2a;UBE2D2
Ube2f;UBE2F
Ube2g1;UBE2G1
Ube2i;UBE2I
Ube2j1;UBE2J1
Ube2k;UBE2K
Ube2q1;UBE2Q1
Ube2r2;UBE2R2
Ube2z;UBE2Z
Ube3c;UBE3C
Ubfd1;UBFD1
Ubl4a;UBL4A
Ubl5;UBL5
Ubl7;UBL7
Ubp1;UBP1
Ubqln1;UBQLN1
Ubqln4;UBQLN4
Ubr4;UBR4
Ubxn1;UBXN1
Ufc1;UFC1
Ufl1;UFL1
Ufm1;UFM1
Ugp2;UGP2
Urod;UROD
Usb1;USB1
Usp14;USP14
Usp22;USP22
Usp39;USP39
Usp4;USP4
Usp48;USP48
Utp18;UTP18
Utp3;UTP3
Vcp;VCP
Vdac1;VDAC1
Vezf1;VEZF1
Vps16;VPS16
Vps25;VPS25
Vps26a;VPS26A
Vps26b;VPS26B
Vps29;VPS29
Vps36;VPS36
Vps37c;VPS37C
Vps51;VPS51
Vps52;VPS52
Vti1b;VTI1B
Wac;WAC
Wasl;WASL
Wbp4;WBP4
Wdr45b;WDR45B
Wdr46;WDR46
Wdr55;WDR55
Wdr82;WDR82
Wdr83os;WDR83OS
Whamm;WHAMM
Wipi2;WIPI2
Wrnip1;WRNIP1
Xpot;XPOT
Yars;YARS
Yif1a;YIF1A
Yipf3;YIPF3
Ykt6;YKT6
Yme1l1;YME1L1
Ythdc1;YTHDC1
Ythdf1;YTHDF1
Ywhab;YWHAB
Ywhae;YWHAE
Ywhaq;YWHAQ
Yy1;YY1
Zbtb17;ZBTB17
Zc3h11a;ZC3H11A
Zc3h15;ZC3H15
Zc3h18;ZC3H18
Zc3h3;ZC3H3
Zdhhc6;ZDHHC6
Zdhhc7;ZDHHC7
Zfp146;ZNF146
Zfp330;ZNF330
Zfp593;ZNF593
Zfp706;ZNF706
Zfp777;ZNF777
Zfp865;ZNF865
Zfp91;ZFP91
Zfpl1;ZFPL1
Zfyve21;ZFYVE21
Zmat2;ZMAT2
Zmiz1;ZMIZ1
Zmpste24;ZMPSTE24
Zmynd19;ZMYND19
Zranb1;ZRANB1
Zranb2;ZRANB2
Zrsr1;ZRSR2
Zyg11b;ZYG11B
